"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
15,Sat  08 Jun 2024 02:54:29 +0000,"20240608.0254.001","SVP drifter","deploy","NaN","P5","NaN"," 36.000495"," -74.365313","No instruments found in /shipdata/cruise_cfg/current_cfg","lEnders","SVPD 64035960","RR2407","20240608.0254.001","20240608.0254","2024/06/08 02:54:28","2024-06-08T02:54:29+00:00",
34,Sat  08 Jun 2024 23:21:56 +0000,"20240608.2321.001","SVP drifter","deploy","NaN","P1","NaN"," 36.227949"," -74.354995","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel","SVPD 64035970",,"RR2407-SE-20240608.2321.001","20240608.2321","2024/06/08 23:21:55","2024-06-08T23:21:56+00:00"," & Sat Jun  8 23:26:30 2024"
61,Sun  09 Jun 2024 23:40:41 +0000,"20240609.2340.001","SVP drifter","deploy","NaN","Shingle_Station_12","NaN"," 38.511408"," -72.256142","No instruments found in /shipdata/cruise_cfg/current_cfg","lWentzel","SVPD 300534064036970_64036970",,"RR2407-SE-20240609.2340.001","20240609.2340","2024/06/09 23:40:42","2024-06-09T23:40:41+00:00"," & Sun Jun  9 23:50:24 2024"
